tweet,user,location,date
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",Shaken0Stirred,,2019-10-17 12:34:54
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",jenndeve,Maryland,2019-10-17 12:34:39
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",ShannonRitenour,"Birmingham, AL",2019-10-17 12:34:36
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",lkjtexas,"Texas, USA",2019-10-17 12:34:13
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",seabolt_kim,"Madison, IN",2019-10-17 12:33:20
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",SusanKBradford,"Loveland, Ohio",2019-10-17 12:33:09
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",ssmunsell,,2019-10-17 12:32:43
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",patmo1,"North Carolina, USA",2019-10-17 12:32:41
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",zidanesboots,,2019-10-17 12:32:16
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",HelenResists,L-Space,2019-10-17 12:32:08
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",SusanDoyle1963,"Los Angeles, CA",2019-10-17 12:32:05
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",56blackcat,"Northern Ireland, UK 🇬🇧 ",2019-10-17 12:31:51
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",teresa_atHome,Oregon,2019-10-17 12:31:43
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",gayleasher1,OZ,2019-10-17 12:31:41
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",SugarBrownShuga,,2019-10-17 12:31:09
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",ishakeitup,New Orleans & Burbank,2019-10-17 12:30:47
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",auvi_lu,,2019-10-17 12:30:44
"$VERB @VerbTech_Co #ConversionRate #ConversionRates #CTA
#BuiltInCRM #ConversionRateOptimization #Conversions… https://t.co/Ob25ei9uph",InteractiveVid2,"North Carolina, USA",2019-10-17 12:30:00
"RT @TeelaResists: 😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to Rep. C…",ggirl09R,"Lee's Summit, MO",2019-10-17 12:28:51
"😭😭#CTA 1😭😭#Baltimore #DMV 
TODAY    1 PM – 2 PM
Meet at:  Blue Iris Flowers
918 Frederick Rd  21228
Then travel to… https://t.co/fp2GuZKYcq",TeelaResists,floating thru twitter space,2019-10-17 12:28:24
